Created-At,From-User-Id,Text,Id
2023-01-26,990940969,06.34 Wib Situasi Lalin Simp.Siliwangi Jl.Margonda Raya Ramai Lancar Arah Simp.Ramanda Maupun Jl.Siliwangi Dan Citayam. Petugas Sat Lantas Polres Metro Depok Pengaturan Lalin Upayakan Kelancaran. @NTMCLantasPolri @TMCPoldaMetro https://t.co/HuDtiIM6SD,"1,61839E+18"
2023-01-26,1587261681952247808,"Informasi hari Kamis tanggal 26 Januari 2023 lokasi SAMSAT Keliling Ditlantas Polda Metro Jaya wilayah administrasi Provinsi DKI Jakarta, Provinsi Jabar & Provinsi Banten. 
@TMCPoldaMetro
#polri https://t.co/nc0QqBwwAN",1618392035110850562
2023-01-26,990940969,06.28 Wib Situasi Lalin Simp.Pemuda Jl.Siliwangi Ramai Lancar Arah Jl.Margonda Raya Maupun Jl.Kartini. Petugas Sat Lantas Polres Metro Depok Pengaturan Lalin Antisipasi Kepadatan. @NTMCLantasPolri @TMCPoldaMetro https://t.co/c4c7F95iQG,1618391026980507648
2023-01-26,121640063,"06.29: RT @TMCPoldaMetro : Situasi arus lalu lintas di Jl. Raya Cakung-Cilincing Jaktim terpantau ramai lancar. 
#PantauElshinta 
https://t.co/UTF18c2XEi",1618390593952153600
2023-01-26,1370720322308038659,"@Tol_Becakayu @TMCPoldaMetro @SonoraFM92 @RadioElshinta @WaskitaTollRoad Sabar nunggu 22 th akhirnya rampung jg,skrg nunggu brapa Thun lgi utk evaluasi yaah ?,@KemenPU @jokowi @kemenhub151 ,@ridwankamil",1618390383091941376
2023-01-26,121640063,"06.24: RT @TMCPoldaMetro : Situasi arus lalu lintas di Traffic Light Cempaka Putih menuju arah Pulogadung terpantau ramai lancar. 
#PantauElshinta 
https://t.co/jXHqqykusl",1618389292245725189
2023-01-26,1034280188182286337,"06.16 WIB, Situasi lalin KM 1+100 Arah Andara-Brigif Lancar dan arah Antasari-Fatmawati/Tol Jorr Lancar Namun Terjadi adanya Antrean kendaraan Menjelang GT Cilandak Satelit.
Hati-hati Dalam Berkendara, Jaga Jarak Aman. (Tr/Hdr)
@TMCPoldaMetro
@PTJASAMARGA
@SenkomCMNP
@SonoraFM92 https://t.co/gUZgMeTdL7",1618387367978741760
2023-01-26,121640063,"RT @TMCPoldaMetro: LOKASI PELAYANAN #SIMKELILING Kamis, 26 Januari 2023 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung.
Jaksel : Ka…",1618386999383322624
2023-01-26,180696019,"06.11 #LalinSonora
Situasi arus lalu lintas di Jl. Raya Cakung-Cilincing Jaktim terpantau ramai lancar. @TMCPoldaMetro https://t.co/fYLM9dZz4g",1618386106466328576
2023-01-26,180696019,"06.05 #LalinSonora
Situasi arus lalu lintas di Traffic Light Cempaka Putih menuju arah Pulogadung terpantau ramai lancar. @TMCPoldaMetro https://t.co/UJcwuZBBda",1618384727324622848
2023-01-26,2993378208,@TMCPoldaMetro syarat2 perpanjang sim min,1618383777583230977
2023-01-26,1253274554580889600,"RT @TMCPoldaMetro: LOKASI PELAYANAN #SIMKELILING Kamis, 26 Januari 2023 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung.
Jaksel : Ka…",1618382353528918017
2023-01-26,121640063,"05.51: Arus lalu lintas di Jl jalan Provinsi Pantura arah Cirebon padat merayap dari Cikampek, ada perbaikan jembatan perbatasan Karawang & Subang  (Pak Heri)
@TMCPoldaMetro https://t.co/CpaFJ7Tpwh",1618381207716368388
2023-01-26,1569964132694380544,"@TMCPoldaMetro Luar biasa, jika aparat bisa benar² menjalankan amanahnya pasti akan terasa aman dan sejuk dalam berkehidupan ..",1618361924672159744
2023-01-26,263045794,"RT @TMCPoldaMetro: Lokasi titik kawasan Ganjil-Genap ( GAGE ) di Jakarta berlaku pada hari Senin s/d Jum'at. Untuk Sabtu, Minggu, dan hari…",1618315593685553154
2023-01-26,702150147698855937,"#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '23.51 #Polri Dit Lantas PMJ melaksanakan Kegiatan Apel Gabungan Patroli Cipta Kondisi di Lapangan Presisi Dit Lantas PMJ. ' https://t.co/ra87gfMcCz, see more https://t.co/oJIVLJEX4N",1618308741736054786
2023-01-26,380160977,@karman_mustamin @TMCPoldaMetro @NTMCLantasPolri ektp aja masih difotokopi pak,1618303906676879360
2023-01-25,100789614,"@TMCPoldaMetro Kayaknya tiaap hari, minggu bahkan bulan selalu begini apa gaketemu2 solusinya ya, mereka parkir gt juga gegara kang parkirnya",1618289040859725828
2023-01-25,191734589,"RT @bisnis_h: @MartoArt Walah copot, maaf ketahuan ?. Double plat @TMCPoldaMetro , mana plat polisi lagi ?. Apa begini dibolehin (dgn senga…",1618281808961101824
2023-01-25,1542867449384960001,RT @TMCPoldaMetro: 08.30 Situasi terkini di depan MPR/DPR JL. Gatot Subroto. Untuk pengendara motor dan mobil dari arah Semanggi yang menuj…,1618281401077620736
2023-01-25,1560425495279202305,"RT @TMCPoldaMetro: Cek kembali apakah pagar, pintu & jendela rumah sudah terkunci dengan baik sebelum beranjak istirahat malam hari ini.
ht…",1618280508903010306
2023-01-25,2925403554,"info terkini Pukul 23:10 Wib,Mohon maaf perjalanan anda terganggu,Untuk saat ini Exit KM 10+500 Pamulang Ciater di tutup sementara di alihkan ke Exit KM 12.
@TMCPoldaMetro

@RadioElshinta

@NusantaraInfra https://t.co/CqQNS8Jlpg",1618280410051645440
2023-01-25,702150147698855937,"#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '21.24 #Polri Satlantas Jakbar melaksanakan Kegiatan Apel Gabungan Patroli Cipta Kondisi di Mapolres Jakbar. ' https://t.co/pOUvPsygoj, see more https://t.co/oJIVLJEX4N",1618278548610973698
2023-01-25,702150147698855937,"#Jakarta #DKIJakarta @JakartaIDNews @SonoraFM92: '20.38 #LalinSonora
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakpus terpantau ramai lancar. @TMCPoldaMetro ' https://t.co/e1klq1CRkh, see more https://t.co/h97n18Prav",1618278546387996672
